,hitrate
0,0.5948380821522181
1,0.6588881353901951
2,0.8464432037658585
3,0.27903259135582487
4,0.0
5,0.3607392426227972
6,0.3107485816985417
7,0.8779322879037178
8,0.0004939945718006486
9,0.4034769068474128
10,0.9998675841364772
11,0.9551208636521917
12,0.0
13,0.4631090205719584
14,1.0
15,0.4233151813247487
16,0.47248069040379104
17,1.0
18,0.8406224264911102
19,0.07066713470741072
20,0.2944200629825769
21,0.17978365471039576
22,0.12503915557908957
23,1.0
24,0.1606458211434771
25,0.40572549276428305
26,0.24872599379860744
27,1.0
28,1.0
29,1.0
30,0.6160358977943047
31,1.0
32,1.0
33,0.4807205752981362
34,1.0
35,0.00041680885131726935
36,0.5546202450217806
37,0.9234333443623918
38,0.0017520898227982318
39,0.17120349052963174
40,0.5682152209787519
41,0.5553535666029569
42,0.011287447525013499
43,0.9212984750048262
44,0.7723635696747094
45,0.8234639121670884
46,0.8696241025595571
47,0.6036700392068566
48,0.5885180566271759
49,0.8050336387276928
50,0.4305240669124419
51,0.12367307815049834
52,0.7024124272924357
53,0.5012800819252432
54,1.0
55,0.3852102249571394
56,0.5695281397317478
57,0.41916935719781256
58,0.37076936752017925
59,0.8102594988113804
60,0.0
61,0.0
62,0.22599800446324025
63,1.0
64,0.4387764842582295
65,0.19476680642060598
66,0.043129215519827936
67,0.9677773147651572
68,0.0
69,0.0
70,0.8890159578169667
71,0.3505081458578032
72,1.0
73,0.6742783092791302
74,0.0
75,1.0
76,1.0
77,1.0
78,0.0011529405154713447
79,0.7346594261070787
80,0.11266334172667573
81,0.5606196349273127
82,0.0
83,0.5054747049501749
84,0.33531180508331887
85,0.30902049310420393
86,0.7647940985931572
87,0.09732185991266276
88,0.002276044968614728
89,1.0
90,0.4135632184948078
91,0.013141633364720648
92,0.0
93,0.0
94,0.5584207884816176
95,0.10054277846294422
96,0.2864562567124626
97,1.0
98,1.0
99,0.0
