,hitrate
0,0.4674622090733809
1,0.0
2,0.008518494984357639
3,0.5123903916885952
4,0.7766189043863805
5,1.0
6,0.0
7,0.3778616973478635
8,0.737491138070238
9,0.48204602486779063
10,0.7553408441552385
11,1.0
12,0.7169164489226535
13,0.2405746655871805
14,0.5635366173041289
15,0.0
16,0.2575446389289567
17,0.2760647570345702
18,0.9054634907264775
19,0.6529047495171895
20,0.34528966346290424
21,1.0
22,0.950687353146532
23,0.2991530443877382
24,0.536359470744835
25,0.585934800764523
26,0.16705953146620353
27,0.16533632523850908
28,0.35536078084843287
29,0.6820381289577735
30,1.0
31,0.22573224463111194
32,0.8247369743803507
33,0.08894316919072649
34,1.0
35,0.07235127458731079
36,0.6158120638009921
37,0.1821278088840737
38,0.8050336387276928
39,0.7289398182934309
40,1.0
41,0.0
42,0.0
43,1.0
44,0.09325398042211058
45,0.6742783092791302
46,1.0
47,0.08860730335220636
48,0.33871577711456213
49,0.07781362508960557
50,0.20220680300935426
51,0.15394975513034395
52,0.8890159578169667
53,0.3762724821373196
54,0.0
55,1.0
56,0.7723635696747094
57,0.4115876775005398
58,0.9908256880733944
59,1.0
60,0.0
61,0.08558527873182882
62,1.0
63,0.07066713470741072
64,0.0
65,0.0
66,0.8481250954857094
67,0.6263712769438446
68,0.5964666085191866
69,0.0
70,0.3232568376573413
71,0.11924223046949568
72,0.3761455897359219
73,1.0
74,0.11776805762240576
75,0.3241101437997309
76,0.2094383915040707
77,0.8693186452092371
78,0.49853715623171446
79,0.3510590399778952
80,1.0
81,0.22599800446324025
82,0.3213082294750341
83,0.5195764378493536
84,0.6448525580534591
85,0.9400875640154652
86,0.7127462776910206
87,0.11245303991682566
88,0.0
89,0.18596513485939023
90,0.34693325793852337
91,1.0
92,0.558705343065657
93,0.8191786626201725
94,0.0
95,0.4380509478254123
96,0.0013456079977384626
97,0.47248069040379104
98,0.01944847687786085
99,0.17099963926688533
