,hitrate
0,0.4381039068399929
1,0.013429469551100753
2,0.24845949115478672
3,0.4069125891878876
4,0.19013205900609037
5,0.3558910474315671
6,0.14776601888706378
7,0.563791296321285
8,0.5894939781765189
9,0.908946335746876
10,0.7052003273470852
11,0.27265663835706655
12,0.010895157559649208
13,0.8272791994424888
14,0.7306464882647411
15,0.20302370953832824
16,0.14994722804655683
17,0.35904031052304053
18,0.8020498392596306
19,0.6659078838765685
20,0.7630596006080954
21,0.4052132018472908
22,0.33226279368481054
23,0.27572719591261197
24,0.7385699638381261
25,0.0
26,0.478773061405362
27,0.38766247516948465
28,0.0
29,0.653640406698438
30,0.5697694323220625
31,0.0
32,0.43272378054065336
33,0.030213846481593497
34,0.465553577498201
35,0.3905443619449741
36,0.29082493032213347
37,0.16233092367151644
38,0.38840010333608327
39,0.368130162887918
40,0.3291872426307498
41,0.46129988933085886
42,0.1676046906366927
43,0.15141180521943562
44,0.0
45,0.0006199878094555996
46,0.0
47,0.35193287384020205
48,0.0
49,0.5866242054447974
50,0.649725547866078
51,0.4173494153312842
52,0.4537158668707228
53,0.46243487815004825
54,0.43149914276119733
55,0.4495350953940483
56,0.46741861994427947
57,0.33419689761819
58,0.40420931216323935
59,0.5065032083440449
60,0.4616649512588403
61,0.28427283317406554
62,0.6644386271154465
63,0.13659770437093888
64,0.39103125184159876
65,1.0
66,0.8304912520551959
67,0.5206165308552403
68,0.8242511599286076
69,0.7226860529972977
70,0.2510638832159497
71,0.8846596332940811
72,0.27899476127824835
73,0.5724110868985488
74,0.17856424221655864
75,0.9994218510138914
76,0.37442970404428266
77,0.2929229192945058
78,0.2988681721887997
79,0.4099134860763442
80,0.04187836222518808
81,0.489725791650147
82,0.04226969260820971
83,0.5914646679672595
84,0.3559870542144854
85,0.5827500301978537
86,0.6971301182206178
87,0.20986210950675133
88,0.3631364033989473
89,0.38477892924232543
90,0.5168111686021384
91,0.0019968946119622542
92,0.2691786043208127
93,0.6188123728137687
94,0.10479724144215503
95,0.3551687676567469
96,0.3758110401803135
97,0.10162508761847394
98,0.4378135620472186
99,0.0
